===== Export Data Var P =====
RobotTypeName : ,VS068A4-AV6-NNN-NNN A
RobotTypeID : ,262244,0
File Version : ,2
[No.],[X],[Y],[Z],[RX],[RY],[RZ],[FIG],[Usage],[Macro]
62,-177.4578,359.495,652.2696,140.71,1.699032,-92.0303,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 1 to rotator - Direct",
63,-288.4205,350.419,654.9261,90.36353,8.164835,-90.92925,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 2 to rotator - Direct",
64,-406.4658,350.419,654.9261,90.36353,8.164835,-90.92925,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Approach Rotator",
65,-406.4658,350.419,579.5118,90.36353,8.164835,-90.92925,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Place Rotator",
66,-229.4955,350.427,579.5015,90.36368,-8.168633,-91.03029,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Retract Rotator - Direct",
67,-426.2529,398.9617,581.4812,90.33139,-7.451808,-91.14721,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Approach Whirl Bottom",
68,-447.5536,399.3723,581.359,90.33139,-7.451808,-91.14721,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Pick Whirl Bottom",
69,-447.5536,399.3723,684.9095,90.33139,-7.451808,-91.14721,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Depart Rotator",
70,-265.2162,399.3723,684.9095,90.33139,0,-91.14721,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 1 Boxing -Direct",
71,-265.2162,399.3723,684.9095,132.3452,.7678942,-90.85233,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 2 Boxing - Direct",
72,-212.0832,399.3723,684.9095,162.7045,1.093359,-90.34737,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 3 Boxing - Direct",
73,-96.09579,291.7088,684.9095,180,3.547858E-15,-90,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 4 Boxing - Direct",
74,-96.09579,-19.50489,721,180,1.163518E-13,-90,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint 5 Boxing - Direct",
75,0,0,0,0,0,0,-1 - Undefined,"",
76,-77.2051,-26.73623,561.7568,-179.997,8.640789E-03,-179.6596,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Waypoint Boxing Rotator Bypass - Direct",
77,-77.2051,-443.4864,342.0186,-179.997,8.640789E-03,-179.6596,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Release Boxing, Hopper Up Facing",
78,-195.703,479.4782,585,180,1.648353E-03,-144.4804,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Unload reject - waypoint to bin - Direct",
79,-195.703,479.4782,252.5839,180,1.648353E-03,-144.4804,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Unload reject - bin",
80,0,0,0,0,0,0,-1 - Undefined,"",
81,-240.8016,242.8429,550,180,.01,0,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Approach Lower Housing Place Point - Direct",
82,-54.70754,-2.773708,550,180,.01,-.2,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Way Point to Lower Housing Pick Points - Direct",
83,0,0,0,0,0,0,-1 - Undefined,"",
84,-41.6,-40.2,60,180,0,-.2,1 - Lefty | Above | Flip | J6Single | J4Single | J1Single,"",
85,-41.6,-40.2,10,180,0,-.2,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single,"",
86,0,0,0,0,0,0,-1 - Undefined,"",
